#1.2																																																																																																																																																																																					
661	180																																																																																																																																																																																				
symbol	symbol	MLC94_46_LYM009	MLC96_45_LYM186	MLC91_27_LYM427	MLC91_28_LYM428	MLC94_50_LYM004	MLC95_62_LYM114	MLC95_85_LYM137	MLC94_67_LYM027	MLC94_100_LYM057	MLC96_31_LYM173	MLC91_14_LYM432	MLC96_22_LYM164	MLC96_92_LYM233	MLC95_57_LYM109	MLC92_53_LYM248	MLC95_84_LYM136	MLC95_26_LYM079	MLC96_35_LYM177	MLC96_82_LYM223	MLC95_18_LYM072	MLC94_59_LYM019	MLC95_90_LYM142	MLC95_51_LYM103	MLC95_67_LYM119	MLC96_39_LYM181	MLC92_71_LYM266	MLC94_64_LYM024	MLC94_43_LYM006	MLC96_21_LYM163	MLC94_44_LYM007	MLC95_48_LYM100	MLC95_53_LYM105	MLC96_70_LYM211	MLC94_27_LYM002	MLC94_54_LYM014	MLC95_78_LYM130	MLC91_34_LYM399	MLC91_54_LYM325	MLC95_35_LYM088	MLC96_56_LYM197	MLC95_75_LYM127	MLC94_75_LYM035	MLC96_63_LYM204	MLC92_67_LYM262	MLC92_34_LYM294	MLC99_51_LYM241	MLC95_63_LYM115	MLC91_76_LYM324	MLC91_39_LYM407	MLC91_21_LYM421	MLC95_80_LYM132	MLC91_56_LYM394	MLC95_95_LYM146	MLC94_51_LYM011	MLC91_53_LYM323	MLC91_74_LYM320	MLC95_58_LYM110	MLC95_52_LYM104	MLC95_39_LYM092	MLC96_88_LYM229	MLC96_58_LYM199	MLC91_75_LYM321	MLC92_57_LYM252	MLC95_94_LYM145	MLC92_72_LYM267	MLC92_26_LYM286	MLC96_42_LYM183	MLC95_05_LYM059	MLC95_47_LYM099	MLC94_96_LYM054	MLC94_83_LYM041	MLC91_83_LYM308	MLC91_82_LYM307	MLC94_55_LYM015	MLC95_56_LYM108	MLC96_78_LYM219	MLC91_81_LYM306	MLC96_53_LYM194	MLC92_25_LYM285	MLC96_43_LYM184	MLC92_45_LYM238	MLC94_66_LYM026	MLC91_88_LYM299	MLC96_54_LYM195	MLC96_06_LYM154	MLC92_100_LYM284	MLC96_83_LYM224	MLC95_42_LYM094	MLC94_78_LYM038	MLC91_62_LYM309	MLC91_86_LYM301	MLC91_87_LYM300	MLC95_69_LYM121	MLC96_87_LYM228	MLC91_22_LYM422	MLC92_42_LYM277	MLC94_26_LYM001	MLC95_12_LYM066	MLC91_99_LYM297	MLC91_84_LYM303	MLC95_49_LYM101	MLC96_17_LYM159	MLC94_90_LYM048	MLC95_89_LYM141	MLC91_20_LYM419	MLC96_100_LYM245	MLC95_50_LYM102	MLC91_73_LYM317	MLC91_10_LYM439	MLC94_93_LYM051	MLC96_81_LYM222	MLC92_52_LYM247	MLC96_96_LYM237	MLC96_93_LYM234	MLC95_93_LYM125	MLC91_43_LYM411	MLC94_92_LYM050	MLC95_30_LYM083	MLC94_74_LYM034	MLC95_07_LYM061	MLC91_55_LYM391	MLC94_53_LYM013	MLC94_52_LYM012	MLC96_57_LYM198	MLC95_72_LYM124	MLC95_15_LYM069	MLC91_51_LYM318	MLC96_99_LYM244	MLC91_18_LYM415	MLC94_45_LYM008	MLC95_10_LYM064	MLC95_08_LYM062	MLC94_72_LYM032	MLC94_82_LYM040	MLC92_94_LYM272	MLC96_90_LYM231	MLC96_40_LYM182	MLC91_38_LYM404	MLC91_17_LYM413	MLC91_80_LYM305	MLC91_79_LYM304	MLC96_23_LYM165	MLC95_04_LYM058	MLC91_66_LYM313	MLC96_50_LYM191	MLC91_15_LYM431	MLC91_35_LYM400	MLC95_23_LYM076	MLC95_27_LYM080	MLC95_40_LYM093	MLC96_71_LYM212	MLC96_48_LYM189	MLC96_86_LYM227	MLC91_29_LYM429	MLC92_97_LYM281	MLC94_86_LYM044	MLC96_04_LYM152	MLC95_14_LYM068	MLC92_38_LYM275	MLC95_55_LYM107	MLC96_44_LYM185	MLC95_64_LYM116	MLC94_70_LYM030	MLC96_89_LYM230	MLC96_62_LYM203	MLC96_18_LYM160	MLC94_57_LYM017	MLC96_49_LYM190	MLC95_92_LYM144	MLC95_96_LYM147	MLC91_36_LYM401	MLC94_85_LYM043	MLC91_24_LYM424	MLC91_25_LYM425	MLC91_72_LYM316	MLC96_24_LYM166	MLC96_75_LYM216	MLC95_82_LYM134	MLC91_40_LYM408	MLC94_62_LYM022
FCER1G	FCER1G	-2.016	-0.07115	-0.22475	0.9062	-1.738	0.32405	-0.33095	-0.9111	-0.7052	0.701	-0.06623125	0.05085	0.77735	0.56265	-0.3739	0.19395	-0.7847111	0.1546	-0.77475	-0.5083	-1.659	-1.777	-0.0129	-0.5386	-0.25085	-1.21395	-2.747	-1.93	0.76655	-1.784	0.600025	0.54668335	-0.45805	-0.1375	1.112	-1.8035	-0.03205	-0.3071	-0.26345	-0.4616	0.1358	0.6449	-0.44465	-1.2775	-0.68415	0.5874	-0.76605	1.5855	-0.87545	0.82295	-1.372	0.13205	0.1551	-1.01085	1.2915	0.7066	0.61135	0.03839	0.77195	0.2282	0.89159445	2.445	0.99	-0.29485	-0.36315	-0.5400722	-1.04885	-0.7105968	0.67970625	0.45685	-0.318375	0.5584389	0.8974	0.25275	1.515117	0.95385	1.256995	-1.558	0.22265	-0.85775	-1.998	-0.88425	0.81125	-0.481494444	-0.18005	-0.5905	-0.0727	1.5085	-0.2864	0.9073944	1.4685	0.7687	0.0047	1.718	0.9715	-0.0404	0.11595	0.0236	2.044	3.188	-1.0561972	0.3004	0.80415	0.33555	1.2035	1.467	2.072	2.2315	1.8325	1.6415	1.18775	0.00075	0.34225	-0.15775	0.5312	2.327	-0.2173722	1.2955	-0.21005	0.4336889	2.0245	0.3985	-0.8114	0.0903	0.1254	0.3607	1.48090715	1.463	1.595	-1.668	-0.55889444	0.782275	1.44455	0.61375	0.3723	0.90615	-0.6533	0.876	1.8035	2.334	1.784	-0.164745	0.1927	1.0672	0.5296	0.07645	1.5795	0.7023	0.2836	-0.08595	-1.22315	0.69395	0.2431	1.6305	0.147752493	-0.23535	-2.123	1.02625	0.9611	0.2594	0.18545	0.4334	0.47025	0.2227389	-1.6358	2.187	-0.51625	0.6007	-0.5786	-0.07955	1.1577	0.3397	0.991	0.4624	0.72125	-1.16755	0.2841	-0.287494444	2.74	-2.2555
FCGRT	FCGRT	-1.4365	0.1146	-0.1197	-0.49645	-1.4294	0.2798	0.3847639	-0.54035	-0.0787	0.67305	-0.21525	-0.05075	0.07395	0.5668	-0.25999165	0.47775	-0.3257	0.7917	-0.5157	0.51555	-1.4475	-0.4884	-0.00634995	-0.3597	-0.0158	-0.80425	-2.023	-1.6895	0.86725	-1.6845	0.09365	0.35375	0.23255	-0.85245	-0.0564	-1.00535	-0.10475	0.13755	-0.76455	-0.12095	-0.2644	0.1828	-0.33145	-1.54	-0.6524	0.81685	-1.0765	-0.59685	-0.8123	-0.4149	-0.67885	-1.0802	-0.0289	-0.9591	0.6138	0.0645	0.6856	-0.547	0.8866	-0.50185	0.84885	1.182	0.2553	0.13785	-0.72735	0.65585	0.3579	0.3323	0.20897	0.222	-0.8549	-0.0947	0.23725	0.452	1.6245	1.3245	1.0985	-0.9802	0.26095	-0.1789	0.01515	-0.396	0.9882	1.497	0.5348	0.4674	0.0544	0.70025	1.1645	1.1374	1.516	1.651	0.8821	1.0925	-0.14025	-1.345	-0.552	-0.69365	0.8091	1.3955	-0.3266	0.74125	0.74215	0.3258	0.50685	1.2545	1.124	1.832	0.85605	1.7425	1.37165	0.3659	0.3892	0.86825	-0.41075	1.04025	-0.5413	1.0252	0.2317	0.1043	1.6165	0.97675	-1.0265	0.6575	0.89015	-0.69585	0.943	1.655	1.5245	-1.65703	-0.1767	0.26905	0.837975	0.571195	0.12095	0.31655	-0.42055	0.58095	1.06185	1.8455	2.2865	-0.44365	-0.26205	0.27995	0.984	-0.9984	0.90055	-1.00085	0.3752	0.0217	-1.915	0.9032	0.68255	1.468	-1.10645	-1.0471	-1.18	0.46785	0.86325	0.1782334	-0.79385	-0.5354	1.3775	0.84645	-0.998	0.89905	-0.34585	0.68915	-0.7418	-0.22015	0.6731	-1.28445	0.317995	0.66005	-0.025349967	-0.19085	0.21095	0.00315	2.2645	-1.516
FEZ1	FEZ1	-0.4921	-0.488	0.0887	-0.2536	-1.137	0.6877	0.3239	-0.2636	0.2232	-0.416	-0.3871	0.4348	0.214735	-0.16	-0.8096	-0.7181	-0.6681	0.0654	0.0887	-0.8159	-0.2105	-0.1396	1.179	1.181	-0.3153	1.006	-1.315	0.2777	-0.2684	-0.3144	-0.1019	-0.34789	0.3856	0.174	0.5379	-0.4333	0.1598	0.3695	1.087	0.6069	0.113	-0.1686	0.7315	-0.1869	-0.3837	-0.4996	-0.0503	0.4748	0.7378	-0.4391	-0.157	-0.1788	0.2102	0.266	-0.4249	0.0613	0.1172	-0.9049	-0.6946	-0.0306	0.0682	0.327	-0.2998	0.6099	-0.8715	-0.3872	-0.7518	-0.8932	-0.7418	0.5032	-0.561	0.0382	0.0994	0.4097	0.1433	-0.6158	0.7243	-0.2392	-1.047	-0.691	0.4084	-0.6198	-0.3329	0.4913	-0.0467	-0.1844	-0.2724	-1.292	-1.312	-1.144	-0.6187	0.2554	-0.5328	-0.4372	-0.4292	-1.449	-0.3668	-0.2193	0.6323	-0.4246	-0.1247	0.0425	0.0418	-0.8523	-0.1218	-0.7207	-0.606	0.0013	-0.2312	-0.469	-0.5791	-1.213	-1.666	-1.225	-0.3464	0.2742	0.7986	0.2127	-0.1394	-1.567	-0.4018	0.2881	1.15	0.1121	0.6268	0.0305	-0.7491	-0.8451	-0.8101	0.6801	0.0629	0.5879	0.5499	-0.4895	-0.674	-0.044	0.1827	0.1522	0.373	0.3507	0.6836	1.262	0.3698	1.581	1.39	0.4601	0.2945	0.5279	0.6216	0.2174	0.5484	-0.5607	0.1215	-0.5627	-0.9129	0.0844	1.143	-0.1285	0.2428	-0.0022	-0.3018	0.3198	1.238	0.1437	0.404	-0.9119	0.5329	-0.3561	0.4953	-0.0591	0.0056	0.7334	-0.1326	0.0791	0.3343	0.2361	-0.0074	0.3824	0.4067	0.034
FGR	FGR	0.547333333	0.1482	-0.127916667	0.29346667	-0.1995625	0.648366667	-0.3958	-0.61873333	-1.355758	-0.19456667	-0.814666667	0.1702633	-0.310366667	-0.161066667	-0.1754	0.729166667	-1.62333333	-0.8103	-0.47253333	-0.682066667	0.5993	-0.532333333	1.22166667	-0.430333333	1.085367	-1.575	-0.785	-0.47696667	0.855566667	1.483	-1.2032	1.29424287	-0.6099	-0.316066667	0.243233333	-0.5280333	-1.317567	-1.922667	-1.2935	-1.679	-0.643833333	0.1059	-0.95463333	-1.270966667	-0.774933333	0.213233333	-2.202666667	-1.89235	-2.229333333	-1.113781481	-0.842	-1.416667	-0.4415	-1.19762857	0.456733333	0.4486	0.4795	-0.200183333	1.10786667	2.481333333	-0.019316667	0.775933333	1.069066667	-0.706733333	-0.889566667	-0.04765	0.2103833	1.421	0.4845	0.21946667	0.1332	1.699666667	0.065233333	-0.53047	0.8079667	0.42376667	0.2552	0.8821	-0.542633333	-0.62586667	1.649667	0.187733333	0.9910667	1.171466667	-0.25815	0.1533833	2.122667	1.780666667	0.78633333	0.6672	1.256333333	1.731666667	1.053867	1.084733333	0.3257	0.0659	0.7842	-0.4117517	0.374499997	1.281333333	-0.89696667	0.52676667	0.407433333	0.8621	0.5269	1.461333333	1.19	1.999333333	1.404333333	0.9693667	1.830333333	0.533066667	1.0127	0.4605	1.538	1.22733333	-0.6598	2.152	2.73066667	-0.215633333	0.888833333	1.908	-1.05706667	0.3961667	0.1658	0.331833333	0.030466667	0.2143333	0.917666667	-0.88196667	-0.38666667	-0.5511667	0.04448167	-0.4854	-0.5861	0.756566667	-0.5437	-0.4257	0.45246667	0.858166667	0.367	-1.0354	-0.452866667	-0.69571	-0.98	0.008633324	0.44463333	-0.646833333	-0.125866667	-0.6706	-0.6911	1.218	1.47566667	1.791333	-0.052278333	-0.583666667	-1.2346	0.311033333	-0.4777	1.857667	-0.328	-0.152083333	0.28636667	0.17245	-1.165366667	1.453666667	0.579033333	-0.022783333	-0.040516667	-0.27713333	0.268666667	0.165116667	-0.117283333	-0.698316667	0.1955	-0.707366667	-0.4323	0.746566667	0.8397667	-1.3381
FKBP11	FKBP11	-0.32873435	0.1102	-0.3022	-0.17005	-0.08445	0.6259	-0.17045	-0.23365	-0.6959	0.37865	-0.76665	0.706	0.10855	-0.28475	0.09525	-0.544425	-0.5574	-0.62785	-0.29155	-0.159375	-0.56265	-0.8402	0.7638	0.32305	-0.0111	-0.17385	-0.433	-0.27153611	0.037375	0.7773	-0.17105	0.01045	0.2456	-1.38425	0.0964	-0.64765	-0.167175	-0.6991	0.41275	0.27745	-0.1187	0.3701	0.18	-0.8653	-1.3273	0.292725	0.22965	0.162495	-0.28575	0.12205	-0.29635	-0.6718	-0.05975	-1.0677	0.00815	-0.05445	-0.317975	0.09725	0.13245	0.08125	-0.06725	0.0305	-0.34945	0.26475	-1.008	-0.1003	-0.045675	0.25315	0.3445	0.3502	0.5777	-0.3524	-0.984	0.2869	-0.06705	-0.17635	0.63965	0.14265	-0.2376	-0.07085	-0.564725	-0.581925	0.4123	-0.83735	-0.106825	-0.3558	-0.17015	-0.16005	0.14435555	-0.60345	-0.2518	0.03415	-0.07985	-0.1134	-0.39165	0.106225	0.03405	-0.06735	-0.3329	0.457125	1.142575	0.1028	0.5387	0.0698	-0.6187	0.08435	-0.454975	0.1261	0.1685	0.28855	0.0702	-0.313625	-0.4408	0.0973	0.21015	1.87975	-0.004575	0.6233	0.02945	-0.212925	0.49755	0.5627	-0.12135	0.04575	0.52225	0.1615	-0.0499	1.08775	0.1229	0.1727	0.71775	-0.28455	0.5143	0.1727	-0.07785	-0.23365	-0.00405	0.2227	0.7045	0.8563	0.61475	-0.16205	-0.34785	1.0441	0.0133	0.50065	0.6393	0.35055	0.43475	-0.154525	0.06375	-0.071	0.67555	0.723825	-0.71485	0.4391	-0.21585	0.4121	1.0171	0.552075	0.58385	0.5146	0.794675	0.5629	-0.00425	-0.1101	0.18145	-0.33375	0.417175	-0.126525	0.541	0.927575	0.5874	0.07355	-0.47095	0.06565	0.76565	0.1486	0.6372	-0.40955
FLJ10404	FLJ10404	-0.5297125	-0.16545	-0.27955	-0.09015	0.3014	0.34845	0.7114	-0.52095	-0.106075	0.095425	-0.0719	0.01565	-0.044525	-0.49675	-0.279375	0.643	-0.5105	0.05775	-0.4829	0.31475	-0.71895	0.77625	0.0894	0.5817	-0.2221	-0.34810555	-0.2304	-0.2358	0.105175	0.578707143	-0.6477	0.40098	0.4496	0.5466	0.1824	-0.092725	0.06985	0.4328	-0.184775	-0.2301	0.14635	-0.3184	0.2334	0.4796	0.13441875	-0.022075	-0.24035	-0.76765	0.1626	-0.15535	0.3704	-0.2189	0.27155	-0.247892855	0.16640555	0.269	-0.0077	0.2636	0.4313	-0.002075	0.129875	-0.04168	-0.36965	0.37965	-0.07595	0.7896	-0.0967	-0.17445	-0.557125	-0.7526	0.49075	0.6345	0.9397	-0.4007375	0.0005425	0.56275	0.057425	0.27155	-0.0251	-0.3081	0.60493	-0.5249	0.4254	0.44615	-0.2489	0.5171	0.2575	0.024075	0.6864	0.6377	0.299225	0.64625	-0.2487	0.79675	-0.019275	0.160775	0.2359	-0.69225	-0.2307	-0.053775	-0.062775	0.109725	0.01135	-0.0905	-0.34025	-0.3572	-0.19755	-0.266825	-0.2426775	0.0258	0.91185	-0.21525	0.23695	0.78035	0.003225	0.406525	0.16915	0.0724	-0.44242778	-0.0916	0.17915	-0.38645	0.112675	0.44135	-0.077225	-1.00555	0.1416	-0.75615	0.2933	0.27188125	-0.072975	-0.286475	-0.020575	-0.069275	-0.0834	0.012275	-0.43665	0.475	-0.3956	0.1286	0.050025	0.040275	-0.3399	-0.280275	-0.18545	-1.0385	0.187	-0.62125	-0.45735	-0.073825	-0.05105	-0.10285	0.28855	0.0083	0.1303	0.075	-0.013825	0.026825	0.17275	0.3411	-0.105075	-0.108625	-0.2004	0.20191	-0.22015	-0.28345	0.2536	0.02475	-0.2549	0.22285	0.82075	0.0539	0.04815	-0.01585	-1.0016	-0.021875	-0.051775	0.21295	-0.4143	-0.30453335
FLJ10420	FLJ10420	-0.4591	0.1274	-0.03675	-0.4627	-0.5007	0.5568	1.225	-0.2599	0.6325	-0.04485	-0.3215	0.3871	1.214	0.1794	-0.2442	1.255	-0.1735	-0.8906	-0.6451	0.2009	-0.9155	-1.445	-0.2403	-1.286	-0.4172	-0.6935	-1.056	-1.236	-0.2743	0.01825	-0.7091	0.09595	0.8433	-0.08415	0.4291	0.2136	-0.3231	-0.3102	0.1205	0.01305	0.6943	0.6452	0.8622	-0.1266	-0.2562	-0.00625	0.2621	0.206	0.1479	0.9725	-1.168	0.1948333	0.4708	0.2891	0.07585	0.2573	0.9907	0.08335	-0.2602	0.4189	0.02775	0.1084	-0.00915	0.1018	0.9768	-0.1046	-0.4096	0.1516	-0.3293	0.3211	-0.23657	0.3949	0.4095	-0.2189	0.1262	0.5695	0.8132	-0.4877	-0.5496	-0.02675	-0.4722	-0.02145	-0.1407	-1.344	-0.3173	-0.37141	-0.2927	-0.2578	-1.777	-1.308	-0.5101	-0.5072	0.1566	-0.3051	-0.8559	-0.7454	-0.2406	-0.5194	0.02025	0.7808	-1.208	-0.4082	0.3614	-0.3563	0.8556	-0.1877	-0.01695	0.947	0.8208	0.1513	0.5697	-0.2174	-0.3651667	-0.3709	0.7368	0.2031	0.01405	0.2383	0.7377	-0.4695	0.1776	0.8285	0.5357	-0.07055	0.2792	-0.05355	0.08225	-0.1715	0.01915	-0.4793	-1.286	-0.07555	0.363	0.03515	-0.9748	-0.29	-0.2334	-0.6359	0.1572	0.7121	1.211	0.1878	-0.5161	1.238	0.7019	-0.1402	0.6184	-0.05635	0.4985	0.4324	0.3647	-0.05385	0.7305	0.1669	0.3471	0.6414	0.00625	0.9885	-0.1082	0.05085	-0.282	0.3484	0.1043	-0.8027	0.05315	0.01375	0.2278	0.3737	0.4079	0.06075	-0.1837	-0.2111	-0.02815	-0.4318	0.1249	-0.9591	0.6977	-0.893	0.4539	0.00965
FLJ12895	FLJ12895	-0.7189	0.5391	-1.281	1.447	-1.797	0.7508	0.7734	-0.2798	0.3575	0.2259	0.7168	-1.731	-1.13	0.1357	-0.2653722	0.7126	0.482	1.313	-0.2781	0.37	-0.8261	-0.273	-1.717	0.4649	-1.013	-0.4565	-1.046	-0.9354	-0.2361	-1.569	-0.2123	-0.1882	-0.1226	-0.3045	-0.308	-0.3782	0.4151	0.27069	0.3495	0.7216	0.179	-0.9917	-0.9106	0.8524	1.327	-0.173	-2.517	-0.224775	0.609605	1.793	0.7875	1.022	-0.03415	0.1258	0.2117938	0.1368	0.345	-0.4764	-0.5432	-1.26	0.8815	-0.24654	0.9958	0.3646	-0.3123	0.5843	0.6545	-0.5459	0.02335	-0.1385	-1.008	-2.29	-1.007	0.5016	1.571	-0.3144	-1.466	-0.8575	-0.6309	-0.2599	0.6864	-0.5808	0.7339	2.712	0.7163	1.025	-1.033	0.3986	0.6232	0.13526	1.109	-0.6063	-0.04095	0.8859	-0.8328	-0.5508	0.00985	-0.312	0.3797	0.194	0.4491	-0.5185	-0.9254	-0.2531	-0.3543	-0.5332	-0.9214	-0.1723	-0.416	-1.168	-0.2687	-0.294375	0.3349	0.4244	-0.31529	-0.05355	0.104365	-0.3842	-0.1579	0.9638	-1.275	-0.8389	-1.337	0.05955	0.6229	1.273	0.6404	0.04395	-1.368	0.06585	0.3574	-0.10305	0.2793	0.2373	1.223	1.215	0.6335	1.182	1.337	2.221	0.5705944	0.5957	0.3741	-1.728	-0.09258	1.164	-1.739	1.226	-1.178	-1.713	0.3682	0.7829	-0.3	-0.4396	-0.018955	-1.158	0.07225	0.103	0.2806222	-1.291	0.2032	0.5574	1.911	0.4885	-0.1005667	0.09685	-1.338	1.009	-0.2284	0.4602	0.8379	-1.598	0.7485	1.054	1.171	-0.2918	-1.203	1.46	-0.00695	-0.3994
FLJ22457	FLJ22457	-0.5302025	0.705	0.3911	-0.66	-0.68665	0.0225	0.23535	-0.075	-0.621	1.0529	-0.69605	0.02125	0.7341	0.0481	0.9865	0.5548	-0.04055	-1.2745	0.00755	-0.2456	-0.59445	-1.112	0.7156	-0.61435	0.40295	-0.79065	-0.2921	-0.8095	0.28225	-0.5983	-0.5038	0.6846	-0.17315	0.2975	0.33465	0.5478	-0.09885	0.18585	-0.2803	-0.07595	0.1428	0.4312	-0.41365	-0.043	-0.7981	0.08585	-0.4632	0.69835	0.4232	-0.4231	-0.4726	0.2066	0.60545	0.00345	0.3668	1.07075	1.29045	0.28995	-0.2096	1.1755	0.7563	0.39934	0.96065	0.58595	0.5495	1.27875	0.27845	-0.1409	0.09905	0.38675	0.20175	-0.45	0.09124165	-0.47875	0.95635	1.617	0.6424	-0.3169	-0.57415	1.2905	0.99435	-0.3425	0.4313	-0.5048275	0.36845	0.8772	1.05835	-0.92995	-0.0898	-0.526	-1.09095	-0.77345	0.4046	0.89495	-0.4139	-0.0591	0.28975	-0.1977	-0.5565	0.5536	-1.6225	-0.4007	-0.01575	0.53665	0.0186	0.6336	1.117	0.89415	0.94515	0.71585	0.6066	0.957	0.0989	0.9053	0.209465	0.80705	-0.1228	0.14525	0.06715	-0.19785	0.1943	0.9068	-1.0352	0.3561	0.2675	-0.32335	0.29155	0.03115	1.2725	-0.348	-0.732	-0.8989	0.8994	0.3803	-0.4031	-0.32755	0.5189	-0.6671	0.8163	0.0964	0.31225	-0.4755	-0.19045	0.298535	-0.42395	-0.116	0.5253	0.1514	-0.91637	0.73515	-0.61145	0.40515	1.3315	0.18465	-0.44685	-0.18185	-0.33715	0.78685	0.50905	0.32595	-0.8544	-0.3649	-0.17685	0.192	-1.0897	0.197	-0.09995	0.83645	0.05645	0.2347	1.05935	-0.7298	-0.23745	-0.14995	0.01485	-0.5313	1.4365	-0.3204	0.659	-0.44315
FLJ30092	FLJ30092	-0.23033	1.121	-0.2543	-0.7673	0.5293	-0.1231	0.3629	0.283	0.2201	0.1101	0.4717	0.9572	1.299	0.1591	0.013125	0.4413	0.2561	0.3585	0.4013	-0.8778	-0.716925	-0.0101	-0.1246	0.1572	-0.2211	-0.13845	0.4522	-0.2384313	-0.3913	0.2208	-0.5443	0.9447	0.42835	0.14195	0.39565	0.2716	-0.2571	0.7972	0.5418	0.4717	0.5269	-0.1086	0.5632111	0.5785	0.2687	0.2052	0.7503	0.2343	0.2234	0.2957	-0.1132	0.1943	0.2033	0.4162	0.3346	-0.011205	0.1897	-0.1635	-0.6023	0.1468	0.6824	-0.246425	-0.4027429	0.2274	-0.677	0.15269	-0.1987	-0.474	-0.18564	-0.22715556	-1.517	0.4012	0.0653	2.069	0.01111667	0.2242	0.2646	0.1321	-0.1207	-0.7413	0.162	-0.5386	0.0948	-1.126	-0.6228	-0.11856	-0.1932	0.1595	-0.0715	0.000000011	-0.6634643	0.03735	0.3017	0.2364	-0.1246	-0.5948	-0.4717	-1.59	0.1421	-0.6009	-0.2293	-0.1583	-0.507478571	-0.3709	-0.2126	-0.50028	-0.2768	-0.07656	0.0158	-0.0629	0.2347	-0.1939	-0.3776	0.3287	-0.0591	-0.3256	0.0362	-0.3065	0.6529	-0.283	-0.3237	0.7036	-0.0815	-0.3622	-0.1227	-1.02	-0.0581	-0.3537286	0.018	0.371	-0.8587	-0.1568	0.1903	-0.8223	-0.3281375	-0.085	-0.2016	-0.079525	-0.9359	-0.1369	-0.9972	-0.2472	0.0812	0.0146	-0.0608	-0.6686	-0.3886	0.1624	-0.4006	-0.5447	-0.7186	-0.3038	-0.0428	-0.5677	0.131727778	0.4835	0.1608	-0.24482	-0.2272	0.7288	-0.5712	0.5353	-0.3559	-0.2916125	-0.1369	-0.1498	0.5725	0.0349	-0.5033	1.829	0.001	-0.3557	-0.2433	-0.4043	0.4856	-0.332	1.195	-1.202	-0.1925	0.1797
FN1	FN1	-0.167716667	1.4893	0.286273341	0.68438333	-1.24167	0.080183333	0.80660625	0.73986667	0.1537333	0.7504	1.832245	-1.397067	-1.029166667	2.241616667	-0.524733333	1.160114817	-0.75216667	1.09028333	-2.11533333	1.410728333	-1.494525	-0.7472	-1.94910167	0.517816667	2.039167	-0.46115	-1.51578333	-2.74473383	1.48415	-1.030961111	2.207167	2.35868417	-0.966616667	-1.13750574	1.032558333	-1.601163	-0.6362979	0.7723167	-1.949633	-0.48126667	0.5367	-0.526808333	0.28011667	-0.035008333	0.345016667	1.757833333	0.080349993	0.71742222	-2.394077778	-0.518201852	-0.003764167	-0.8753467	0.12005	0.405537037	3.114963	-0.18592385	1.143838833	1.84444815	1.3379	1.724333333	-0.752816667	1.861815238	-0.585983333	0.057666667	-1.545988333	-1.187687033	0.4784167	0.8349833	1.5334	1.18022833	0.509130833	1.1380599	1.834083333	0.18711852	1.064929	1.37176833	-0.22595	0.99	-1.613275	-0.07905833	-2.027333	0.282583333	-0.4347383	-1.539639583	-1.920666667	-2.187027	0.05087499	1.088216667	-1.36571667	0.525415	0.487916667	-1.314963333	0.6757667	0.696472222	2.0465	-1.716333333	0.31793705	-2.673617	1.401933333	-0.515666667	0.85021667	-0.19099167	-1.73988	0.362666667	1.00876667	-0.103316667	1.0332	0.650847685	0.783133333	0.146175	2.5235	-0.574375	1.453	0.206933333	-0.515801667	-0.8967125	-1.6715055	-1.75676667	-1.23867667	0.570141667	0.043908333	0.913398148	-1.33906667	-1.9115	0.7964833	0.796166667	-0.80848125	-0.1682558	1.245783333	-1.69921667	-2.771	1.453017	-1.39933333	-0.10505	-0.56535	0.79602	-0.938616667	0.857843833	-0.0367325	-0.201658337	-0.645258333	-0.61495	0.069175	-1.511468	-0.15116667	0.1731074	-1.60978667	-0.663133333	0.957333333	-1.8595	-2.036667	-0.737616667	-1.32326667	2.559167	1.324133333	0.90645	-0.79601667	-0.634766667	-0.339441667	0.598175	0.35895	1.457916667	0.50701667	-1.047166667	-0.177516667	2.091666667	-0.666272917	1.833833333	-1.288476667	0.1115	1.88732963	0.777046667	2.580666667	-0.996772283	-0.384164583	-1.475883333	0.93495	-1.998821131	0.82825	-1.767661667
